setting,z0,z1,Da,composition,T0,P0,rho0,critical_depth,critical_pressure,critical_temperature,plag_out_pressure,plag_out_temperature,plag_out_depth,effective_delta_rho,max_delta_rho,max_rho,max_densification_rate_1Myr,max_densification_rate_100kyr,max_densification_rate_50kyr,max_densification_rate_10kyr
,,,0.01,sammon_2021_deep_crust,887.0,8075.999999999999,2959.3526267573866,nan,nan,nan,nan,nan,nan,nan,nan,2.942285293372115,nan,nan,nan,nan
,,,0.01,sammon_2021_lower_crust,887.0,8075.999999999999,3019.526361345015,nan,nan,nan,nan,nan,nan,nan,nan,2.9988900336510946,nan,nan,nan,nan
,,,0.01,hacker_2015_md_xenolith,887.0,8075.999999999999,3149.3150267060996,nan,nan,nan,nan,nan,nan,nan,nan,3.1289812397244656,nan,nan,nan,nan
,,,0.01,mackwell_1998_maryland_diabase,887.0,8075.999999999999,3237.0564096893845,nan,nan,nan,nan,nan,nan,nan,nan,3.2170377598575266,nan,nan,nan,nan
,,,0.03,sammon_2021_deep_crust,887.0,8075.999999999999,2959.3526267573866,nan,nan,nan,nan,nan,nan,nan,nan,2.9523983191991,nan,nan,nan,nan
,,,0.03,sammon_2021_lower_crust,887.0,8075.999999999999,3019.526361345015,nan,nan,nan,nan,nan,nan,nan,nan,3.010207180477477,nan,nan,nan,nan
,,,0.03,hacker_2015_md_xenolith,887.0,8075.999999999999,3149.3150267060996,nan,nan,nan,nan,nan,nan,nan,nan,3.1382518857789448,nan,nan,nan,nan
,,,0.03,mackwell_1998_maryland_diabase,887.0,8075.999999999999,3237.0564096893845,nan,nan,nan,nan,nan,nan,nan,nan,3.2243275127355644,nan,nan,nan,nan
,,,0.1,sammon_2021_deep_crust,887.0,8075.999999999999,2959.3526267573866,nan,nan,nan,nan,nan,nan,nan,nan,2.983813537123717,nan,nan,nan,nan
,,,0.1,sammon_2021_lower_crust,887.0,8075.999999999999,3019.526361345015,nan,nan,nan,nan,nan,nan,nan,nan,3.045186539112716,nan,nan,nan,nan
,,,0.1,hacker_2015_md_xenolith,887.0,8075.999999999999,3149.3150267060996,nan,nan,nan,nan,nan,nan,nan,nan,3.166855554433419,nan,nan,nan,nan
,,,0.1,mackwell_1998_maryland_diabase,887.0,8075.999999999999,3237.0564096893845,nan,nan,nan,nan,nan,nan,nan,nan,3.246938447658221,nan,nan,nan,nan
,,,0.3,sammon_2021_deep_crust,887.0,8075.999999999999,2959.3526267573866,nan,nan,nan,nan,nan,nan,nan,nan,3.0547094717654844,nan,nan,nan,nan
,,,0.3,sammon_2021_lower_crust,887.0,8075.999999999999,3019.526361345015,nan,nan,nan,nan,nan,nan,nan,nan,3.1234057671008033,nan,nan,nan,nan
,,,0.3,hacker_2015_md_xenolith,887.0,8075.999999999999,3149.3150267060996,nan,nan,nan,nan,nan,nan,nan,nan,3.2293591327262496,nan,nan,nan,nan
,,,0.3,mackwell_1998_maryland_diabase,887.0,8075.999999999999,3237.0564096893845,173338.6677335467,93.0,887.0,nan,nan,nan,0.002365514577678159,0.004681129506177495,3.2957893836121777,nan,nan,nan,nan
,,,1.0,sammon_2021_deep_crust,887.0,8075.999999999999,2959.3526267573866,nan,nan,nan,nan,nan,nan,nan,nan,3.171360196609818,nan,nan,nan,nan
,,,1.0,sammon_2021_lower_crust,887.0,8075.999999999999,3019.526361345015,nan,nan,nan,nan,nan,nan,nan,nan,3.2660498557431645,nan,nan,nan,nan
,,,1.0,hacker_2015_md_xenolith,887.0,8075.999999999999,3149.3150267060996,146063.21264252852,93.0,887.0,nan,nan,nan,0.017207195735100468,0.027124522623366065,3.3182327767293662,nan,nan,nan,nan
