|6.6.6
gulcher_morb_2.tab
2
T(K)
573.14999999999998
6.2893081761006293
160
P(bar)
5000.0000000000000
125.78616352201257
160
3
T(K) P(bar) rho,kg/m3
573.150 5000.00 3317.52
579.439 5000.00 3316.12
585.729 5000.00 3314.58
592.018 5000.00 3312.94
598.307 5000.00 3311.11
604.597 5000.00 3309.15
610.886 5000.00 3306.93
617.175 5000.00 3304.49
623.464 5000.00 3301.59
629.754 5000.00 3298.39
636.043 5000.00 3294.59
642.332 5000.00 3290.06
648.622 5000.00 3284.53
654.911 5000.00 3277.48
661.200 5000.00 3253.23
667.490 5000.00 3198.01
673.779 5000.00 3184.87
680.068 5000.00 3174.10
686.358 5000.00 3173.37
692.647 5000.00 3172.64
698.936 5000.00 3171.91
705.225 5000.00 3171.18
711.515 5000.00 3170.45
717.804 5000.00 3167.86
724.093 5000.00 3159.57
730.383 5000.00 3150.86
736.672 5000.00 3141.71
742.961 5000.00 3073.28
749.251 5000.00 3032.95
755.540 5000.00 3032.50
761.829 5000.00 3032.04
768.119 5000.00 3031.59
774.408 5000.00 3031.13
780.697 5000.00 3030.67
786.986 5000.00 3030.20
793.276 5000.00 3029.73
799.565 5000.00 3029.26
805.854 5000.00 3028.79
812.144 5000.00 3028.33
818.433 5000.00 3027.86
824.722 5000.00 3027.39
831.012 5000.00 3026.92
837.301 5000.00 3026.45
843.590 5000.00 3025.99
849.880 5000.00 3025.52
856.169 5000.00 3025.05
862.458 5000.00 3024.58
868.747 5000.00 3024.12
875.037 5000.00 3023.65
881.326 5000.00 3023.18
887.615 5000.00 3022.72
893.905 5000.00 3022.25
900.194 5000.00 3021.79
906.483 5000.00 3021.32
912.773 5000.00 3020.86
919.062 5000.00 3020.39
925.351 5000.00 3019.93
931.641 5000.00 3019.46
937.930 5000.00 3019.00
944.219 5000.00 3018.54
950.508 5000.00 3018.07
956.798 5000.00 3017.61
963.087 5000.00 3017.15
969.376 5000.00 3016.69
975.666 5000.00 3016.22
981.955 5000.00 3015.76
988.244 5000.00 3015.30
994.534 5000.00 3014.84
1000.82 5000.00 3014.38
1007.11 5000.00 3013.92
1013.40 5000.00 3013.46
1019.69 5000.00 3013.01
1025.98 5000.00 3012.55
1032.27 5000.00 3012.09
1038.56 5000.00 3011.63
1044.85 5000.00 3011.18
1051.14 5000.00 3010.72
1057.43 5000.00 3010.26
1063.72 5000.00 3009.81
1070.01 5000.00 3009.36
1076.29 5000.00 3008.90
1082.58 5000.00 3008.45
1088.87 5000.00 3008.00
1095.16 5000.00 3007.55
1101.45 5000.00 3007.10
1107.74 5000.00 3006.65
1114.03 5000.00 3006.20
1120.32 5000.00 3005.75
1126.61 5000.00 3005.31
1132.90 5000.00 3004.86
1139.19 5000.00 3004.41
1145.48 5000.00 3003.97
1151.77 5000.00 3003.52
1158.06 5000.00 3003.08
1164.34 5000.00 3002.64
1170.63 5000.00 3002.20
1176.92 5000.00 3001.76
1183.21 5000.00 3001.32
1189.50 5000.00 3000.88
