|6.6.6
gulcher_venus_1.tab
1
T(K)
200.00000000000011
200.00000000000011
-1008710384
13
T(K) P(bar) Pl Pl Sp Cpx Cpx Opx Gt ky O qtz coes
923.150 5000.00 64.3030 NaN NaN 3.61304 NaN 21.9634 NaN NaN 10.1206 NaN NaN
925.170 5202.02 64.2629 NaN NaN 3.64103 NaN 21.9926 NaN NaN 10.1035 NaN NaN
927.190 5404.04 64.2209 NaN NaN 3.67099 NaN 22.0229 NaN NaN 10.0852 NaN NaN
929.211 5606.06 64.1760 NaN NaN 3.70306 NaN 22.0552 NaN NaN 10.0657 NaN NaN
931.231 5808.08 64.1290 NaN NaN 3.73673 NaN 22.0892 NaN NaN 10.0451 NaN NaN
933.251 6010.10 64.0784 NaN NaN 3.77328 NaN 22.1256 NaN NaN 10.0227 NaN NaN
935.271 6212.12 64.0268 NaN NaN 3.81038 NaN 22.1630 NaN NaN 9.99986 NaN NaN
937.291 6414.14 63.9718 NaN NaN 3.85039 NaN 22.2024 NaN NaN 9.97542 NaN NaN
939.312 6616.16 63.9129 NaN NaN 3.89318 NaN 22.2449 NaN NaN 9.94902 NaN NaN
941.332 6818.18 63.8492 NaN NaN 3.93934 NaN 22.2912 NaN NaN 9.92023 NaN NaN
943.352 7020.20 63.7820 NaN NaN 3.98859 NaN 22.3397 NaN NaN 9.88973 NaN NaN
945.372 7222.22 53.1874 NaN 4.27223 12.0836 NaN 30.4567 NaN NaN NaN NaN NaN
947.392 7424.24 53.1502 NaN 4.25750 12.1099 NaN 30.4824 NaN NaN NaN NaN NaN
949.413 7626.26 53.1115 NaN 4.24208 12.1373 NaN 30.5091 NaN NaN NaN NaN NaN
951.433 7828.28 51.9143 NaN 3.66506 12.5889 NaN 28.4681 3.36359 NaN NaN NaN NaN
953.453 8030.30 49.0417 NaN 2.28055 13.6773 NaN 23.4406 11.5599 NaN NaN NaN NaN
955.473 8232.32 46.0674 NaN 0.844992 14.7898 NaN 18.2347 20.0631 NaN NaN NaN NaN
957.493 8434.34 44.3127 NaN NaN 15.4371 NaN 15.1490 25.1012 NaN NaN NaN NaN
959.514 8636.36 44.3105 NaN NaN 15.4296 NaN 15.1132 25.1466 NaN NaN NaN NaN
961.534 8838.38 44.3082 NaN NaN 15.4234 NaN 15.0794 25.1890 NaN NaN NaN NaN
963.554 9040.40 44.3059 NaN NaN 15.4168 NaN 15.0449 25.2324 NaN NaN NaN NaN
965.574 9242.42 44.3035 NaN NaN 15.4119 NaN 15.0146 25.2700 NaN NaN NaN NaN
967.594 9444.44 44.3012 NaN NaN 15.4053 NaN 14.9799 25.3135 NaN NaN NaN NaN
969.615 9646.46 41.6471 NaN NaN 16.9338 NaN 12.0100 28.7339 NaN NaN 0.675280 NaN
971.635 9848.48 38.3568 NaN NaN 18.8830 NaN 8.42950 32.8200 NaN NaN 1.51073 NaN
973.655 10050.5 33.5517 NaN NaN 21.6587 NaN 3.08468 38.9727 NaN NaN 2.73224 NaN
975.675 10252.5 30.9143 NaN NaN 23.2505 NaN 0.255908 42.1792 NaN NaN 3.40006 NaN
977.695 10454.5 30.3986 NaN NaN 23.3741 NaN NaN 42.6994 NaN NaN 3.52783 NaN
979.716 10656.6 30.0749 NaN NaN 23.3473 NaN NaN 42.9712 NaN NaN 3.60668 NaN
981.736 10858.6 29.7611 NaN NaN 23.3226 NaN NaN 43.2333 NaN NaN 3.68298 NaN
983.756 11060.6 29.4245 NaN NaN 23.2989 NaN NaN 43.5116 NaN NaN 3.76495 NaN
985.776 11262.6 29.0850 NaN NaN 23.2818 NaN NaN 43.7856 NaN NaN 3.84755 NaN
987.796 11464.6 28.7322 NaN NaN 23.2664 NaN NaN 44.0679 NaN NaN 3.93345 NaN
989.817 11666.7 28.3510 NaN NaN 23.2604 NaN NaN 44.3622 NaN NaN 4.02629 NaN
991.837 11868.7 27.9717 NaN NaN 23.2560 NaN NaN 44.6537 NaN NaN 4.11863 NaN
993.857 12070.7 27.5797 NaN NaN 23.2588 NaN NaN 44.9475 NaN NaN 4.21406 NaN
995.877 12272.7 27.1742 NaN NaN 23.2710 NaN NaN 45.2420 NaN NaN 4.31274 NaN
997.897 12474.7 26.0714 NaN NaN 24.0746 NaN NaN 45.0679 0.414100 NaN 4.37197 NaN
999.918 12676.8 24.8411 NaN NaN 25.0699 NaN NaN 44.7613 0.903984 NaN 4.42376 NaN
1001.94 12878.8 23.6477 NaN NaN 26.0478 NaN NaN 44.4629 1.35615 NaN 4.48550 NaN
1003.96 13080.8 22.5688 NaN NaN 26.9315 NaN NaN 44.2139 1.72413 NaN 4.56167 NaN
1005.98 13282.8 21.5200 NaN NaN 27.7964 NaN NaN 43.9783 2.05735 NaN 4.64798 NaN
1008.00 13484.8 20.5253 NaN NaN 28.6155 NaN NaN 43.7768 2.33157 NaN 4.75080 NaN
1010.02 13686.9 19.5220 NaN NaN 29.4442 NaN NaN 43.5816 2.58689 NaN 4.86520 NaN
1012.04 13888.9 18.5012 NaN NaN 30.2903 NaN NaN 43.3931 2.82073 NaN 4.99464 NaN
1014.06 14090.9 17.4525 NaN NaN 31.1576 NaN NaN 43.2163 3.03077 NaN 5.14285 NaN
1016.08 14292.9 16.3563 NaN NaN 32.0636 NaN NaN 43.0429 3.22810 NaN 5.30901 NaN
1018.10 14494.9 15.1891 NaN NaN 33.0272 NaN NaN 42.8715 3.41392 NaN 5.49824 NaN
1020.12 14697.0 13.9390 NaN NaN 34.0550 NaN NaN 42.7042 3.58852 NaN 5.71330 NaN
1022.14 14899.0 12.5797 NaN NaN 35.1668 NaN NaN 42.5401 3.75361 NaN 5.95970 NaN
1024.16 15101.0 11.0584 NaN NaN 36.3999 NaN NaN 42.3828 3.90776 NaN 6.25109 NaN
1026.18 15303.0 9.32276 NaN NaN 37.7763 NaN NaN 42.2568 4.03661 NaN 6.60751 NaN
1028.20 15505.1 7.57164 NaN NaN 39.2137 NaN NaN 42.0613 4.20689 NaN 6.94650 NaN
1030.22 15707.1 5.44909 NaN NaN 40.8909 NaN NaN 41.9245 4.34127 NaN 7.39427 NaN
1032.24 15909.1 3.01078 NaN NaN 42.8055 NaN NaN 41.7907 4.47256 NaN 7.92047 NaN
1034.26 16111.1 0.577035 NaN NaN 44.7474 NaN NaN 41.6184 4.62018 NaN 8.43700 NaN
1036.28 16313.1 NaN NaN NaN 45.1443 NaN NaN 41.6581 4.62413 NaN 8.57342 NaN
1038.30 16515.2 NaN NaN NaN 45.0728 NaN NaN 41.7493 4.58911 NaN 8.58880 NaN
1040.32 16717.2 NaN NaN NaN 45.0038 NaN NaN 41.8355 4.55896 NaN 8.60176 NaN
1042.34 16919.2 NaN NaN NaN 44.9356 NaN NaN 41.9222 4.52625 NaN 8.61598 NaN
1044.36 17121.2 NaN NaN NaN 44.8664 NaN NaN 42.0099 4.49338 NaN 8.63029 NaN
1046.38 17323.2 NaN NaN NaN 44.7922 NaN NaN 42.1034 4.45892 NaN 8.64543 NaN
1048.40 17525.3 NaN NaN NaN 44.7154 NaN NaN 42.2006 4.42233 NaN 8.66165 NaN
1050.42 17727.3 NaN NaN NaN 44.6465 NaN NaN 42.2877 4.39009 NaN 8.67567 NaN
1052.44 17929.3 NaN NaN NaN 44.5668 NaN NaN 42.3879 4.35334 NaN 8.69199 NaN
1054.46 18131.3 NaN NaN NaN 44.5036 NaN NaN 42.4696 4.32057 NaN 8.70623 NaN
1056.48 18333.3 NaN NaN NaN 44.4281 NaN NaN 42.5658 4.28319 NaN 8.72284 NaN
1058.50 18535.4 NaN NaN NaN 44.3701 NaN NaN 42.6386 4.25801 NaN 8.73329 NaN
1060.52 18737.4 NaN NaN NaN 44.2784 NaN NaN 42.7539 4.21461 NaN 8.75301 NaN
1062.54 18939.4 NaN NaN NaN 44.2056 NaN NaN 42.8465 4.17945 NaN 8.76851 NaN
1064.56 19141.4 NaN NaN NaN 44.1330 NaN NaN 42.9376 4.14647 NaN 8.78294 NaN
1066.58 19343.4 NaN NaN NaN 44.0564 NaN NaN 43.0332 4.11245 NaN 8.79791 NaN
1068.60 19545.5 NaN NaN NaN 43.9783 NaN NaN 43.1316 4.07608 NaN 8.81406 NaN
1070.62 19747.5 NaN NaN NaN 43.9021 NaN NaN 43.2274 4.04091 NaN 8.82960 NaN
1072.64 19949.5 NaN NaN NaN 43.8228 NaN NaN 43.3273 4.00371 NaN 8.84617 NaN
1074.67 20151.5 NaN NaN NaN 43.7508 NaN NaN 43.4203 3.96585 NaN 8.86301 NaN
