|6.6.6
gulcher_venus_2.tab
2
T(K)
573.14999999999998
6.2893081761006293
160
P(bar)
5000.0000000000000
125.78616352201257
160
3
T(K) P(bar) rho,kg/m3
573.150 5000.00 3288.63
579.439 5000.00 3287.20
585.729 5000.00 3285.72
592.018 5000.00 3284.16
598.307 5000.00 3282.53
604.597 5000.00 3280.80
610.886 5000.00 3278.95
617.175 5000.00 3276.95
623.464 5000.00 3274.79
629.754 5000.00 3272.40
636.043 5000.00 3269.74
642.332 5000.00 3266.70
648.622 5000.00 3263.15
654.911 5000.00 3258.88
661.200 5000.00 3253.46
667.490 5000.00 3246.03
673.779 5000.00 3170.10
680.068 5000.00 3050.82
686.358 5000.00 3050.40
692.647 5000.00 3049.99
698.936 5000.00 3049.57
705.225 5000.00 3049.15
711.515 5000.00 3048.74
717.804 5000.00 3048.32
724.093 5000.00 3047.90
730.383 5000.00 3047.48
736.672 5000.00 3047.06
742.961 5000.00 3046.64
749.251 5000.00 2978.63
755.540 5000.00 2978.22
761.829 5000.00 2977.82
768.119 5000.00 2977.41
774.408 5000.00 2977.00
780.697 5000.00 2976.59
786.986 5000.00 2976.19
793.276 5000.00 2975.78
799.565 5000.00 2975.37
805.854 5000.00 2974.96
812.144 5000.00 2974.55
818.433 5000.00 2974.15
824.722 5000.00 2973.74
831.012 5000.00 2973.33
837.301 5000.00 2972.92
843.590 5000.00 2972.51
849.880 5000.00 2972.10
856.169 5000.00 2971.70
862.458 5000.00 2971.29
868.747 5000.00 2970.88
875.037 5000.00 2970.47
881.326 5000.00 2970.06
887.615 5000.00 2969.65
893.905 5000.00 2969.24
900.194 5000.00 2968.83
906.483 5000.00 2968.42
912.773 5000.00 2968.01
919.062 5000.00 2967.60
925.351 5000.00 2967.20
931.641 5000.00 2966.78
937.930 5000.00 2966.38
944.219 5000.00 2965.97
950.508 5000.00 2965.56
956.798 5000.00 2965.15
963.087 5000.00 2964.74
969.376 5000.00 2964.33
975.666 5000.00 2963.92
981.955 5000.00 2963.51
988.244 5000.00 2963.10
994.534 5000.00 2962.69
1000.82 5000.00 2962.28
1007.11 5000.00 2961.87
1013.40 5000.00 2961.46
1019.69 5000.00 2961.05
1025.98 5000.00 2960.64
1032.27 5000.00 2960.23
1038.56 5000.00 2959.82
1044.85 5000.00 2959.41
1051.14 5000.00 2959.00
1057.43 5000.00 2958.59
1063.72 5000.00 2958.17
1070.01 5000.00 2957.76
1076.29 5000.00 2957.35
1082.58 5000.00 2956.94
1088.87 5000.00 2956.53
1095.16 5000.00 2956.12
1101.45 5000.00 2955.71
1107.74 5000.00 2955.31
1114.03 5000.00 2954.90
1120.32 5000.00 2954.48
1126.61 5000.00 2954.08
1132.90 5000.00 2953.67
1139.19 5000.00 2953.26
1145.48 5000.00 2952.85
1151.77 5000.00 2952.44
1158.06 5000.00 2952.03
1164.34 5000.00 2951.62
1170.63 5000.00 2951.21
1176.92 5000.00 2950.80
1183.21 5000.00 2950.39
1189.50 5000.00 2949.98
1195.79 5000.00 2949.57
1202.08 5000.00 2949.16
1208.37 5000.00 2948.76
1214.66 5000.00 2948.35
1220.95 5000.00 2947.95
1227.24 5000.00 2947.54
1233.53 5000.00 2947.13
1239.82 5000.00 2946.73
1246.11 5000.00 2946.32
1252.40 5000.00 2945.92
1258.68 5000.00 2945.51
1264.97 5000.00 2945.10
1271.26 5000.00 2944.70
1277.55 5000.00 2944.30
1283.84 5000.00 2943.89
1290.13 5000.00 2943.49
1296.42 5000.00 2943.08
1302.71 5000.00 2942.68
1309.00 5000.00 2942.28
1315.29 5000.00 2941.88
1321.58 5000.00 2941.48
1327.87 5000.00 2941.08
1334.16 5000.00 2940.68
1340.45 5000.00 2940.28
1346.73 5000.00 2939.88
1353.02 5000.00 2939.48
1359.31 5000.00 2939.08
1365.60 5000.00 2938.69
1371.89 5000.00 2938.29
1378.18 5000.00 2937.89
1384.47 5000.00 2937.50
1390.76 5000.00 2937.10
1397.05 5000.00 2936.71
1403.34 5000.00 2936.32
1409.63 5000.00 2935.93
1415.92 5000.00 2935.54
1422.21 5000.00 2935.15
1428.50 5000.00 2934.76
1434.79 5000.00 2934.37
1441.07 5000.00 2933.99
1447.36 5000.00 2933.60
1453.65 5000.00 2933.22
1459.94 5000.00 2932.83
1466.23 5000.00 2932.45
1472.52 5000.00 2932.07
1478.81 5000.00 2931.69
1485.10 5000.00 2931.31
1491.39 5000.00 2930.93
1497.68 5000.00 2930.56
1503.97 5000.00 2930.18
1510.26 5000.00 2929.81
1516.55 5000.00 2929.44
1522.84 5000.00 2929.06
1529.12 5000.00 2928.70
1535.41 5000.00 2928.33
1541.70 5000.00 2927.96
1547.99 5000.00 2927.60
1554.28 5000.00 2927.23
1560.57 5000.00 2926.87
1566.86 5000.00 2926.51
1573.15 5000.00 2926.15
573.150 5125.79 3292.39
579.439 5125.79 3291.03
585.729 5125.79 3289.63
592.018 5125.79 3288.16
598.307 5125.79 3286.63
604.597 5125.79 3285.01
610.886 5125.79 3283.30
617.175 5125.79 3281.47
623.464 5125.79 3279.50
629.754 5125.79 3277.35
636.043 5125.79 3274.98
642.332 5125.79 3272.33
648.622 5125.79 3269.31
654.911 5125.79 3265.78
661.200 5125.79 3261.51
667.490 5125.79 3256.11
673.779 5125.79 3248.71
680.068 5125.79 3171.80
686.358 5125.79 3050.92
692.647 5125.79 3050.51
698.936 5125.79 3050.09
705.225 5125.79 3049.68
711.515 5125.79 3049.26
717.804 5125.79 3048.84
724.093 5125.79 3048.43
730.383 5125.79 3048.01
736.672 5125.79 3047.59
742.961 5125.79 3047.17
749.251 5125.79 3046.75
755.540 5125.79 3046.33
761.829 5125.79 2978.39
768.119 5125.79 2977.98
774.408 5125.79 2977.57
780.697 5125.79 2977.17
786.986 5125.79 2976.76
793.276 5125.79 2976.35
799.565 5125.79 2975.95
805.854 5125.79 2975.54
812.144 5125.79 2975.13
818.433 5125.79 2974.73
824.722 5125.79 2974.32
831.012 5125.79 2973.91
837.301 5125.79 2973.50
843.590 5125.79 2973.10
849.880 5125.79 2972.69
856.169 5125.79 2972.28
862.458 5125.79 2971.87
868.747 5125.79 2971.47
875.037 5125.79 2971.06
881.326 5125.79 2970.65
887.615 5125.79 2970.24
893.905 5125.79 2969.84
900.194 5125.79 2969.43
906.483 5125.79 2969.02
912.773 5125.79 2968.61
919.062 5125.79 2968.20
925.351 5125.79 2967.80
931.641 5125.79 2967.39
937.930 5125.79 2966.98
944.219 5125.79 2966.57
950.508 5125.79 2966.16
956.798 5125.79 2965.76
963.087 5125.79 2965.35
969.376 5125.79 2964.94
975.666 5125.79 2964.53
981.955 5125.79 2964.12
988.244 5125.79 2963.72
994.534 5125.79 2963.31
1000.82 5125.79 2962.90
1007.11 5125.79 2962.49
1013.40 5125.79 2962.08
1019.69 5125.79 2961.67
1025.98 5125.79 2961.27
1032.27 5125.79 2960.86
1038.56 5125.79 2960.45
1044.85 5125.79 2960.04
1051.14 5125.79 2959.63
1057.43 5125.79 2959.22
1063.72 5125.79 2958.82
1070.01 5125.79 2958.41
1076.29 5125.79 2958.00
1082.58 5125.79 2957.59
1088.87 5125.79 2957.18
1095.16 5125.79 2956.78
1101.45 5125.79 2956.37
1107.74 5125.79 2955.96
1114.03 5125.79 2955.55
1120.32 5125.79 2955.14
1126.61 5125.79 2954.74
1132.90 5125.79 2954.33
1139.19 5125.79 2953.92
1145.48 5125.79 2953.52
1151.77 5125.79 2953.11
1158.06 5125.79 2952.70
1164.34 5125.79 2952.29
1170.63 5125.79 2951.89
1176.92 5125.79 2951.48
1183.21 5125.79 2951.07
1189.50 5125.79 2950.66
1195.79 5125.79 2950.26
1202.08 5125.79 2949.86
1208.37 5125.79 2949.45
1214.66 5125.79 2949.05
1220.95 5125.79 2948.64
1227.24 5125.79 2948.24
1233.53 5125.79 2947.84
1239.82 5125.79 2947.43
1246.11 5125.79 2947.03
1252.40 5125.79 2946.63
1258.68 5125.79 2946.22
1264.97 5125.79 2945.82
1271.26 5125.79 2945.42
1277.55 5125.79 2945.02
1283.84 5125.79 2944.62
1290.13 5125.79 2944.21
1296.42 5125.79 2943.82
1302.71 5125.79 2943.42
1309.00 5125.79 2943.02
1315.29 5125.79 2942.62
1321.58 5125.79 2942.22
1327.87 5125.79 2941.83
1334.16 5125.79 2941.43
1340.45 5125.79 2941.03
1346.73 5125.79 2940.64
1353.02 5125.79 2940.24
1359.31 5125.79 2939.85
1365.60 5125.79 2939.46
1371.89 5125.79 2939.06
1378.18 5125.79 2938.67
1384.47 5125.79 2938.28
1390.76 5125.79 2937.89
1397.05 5125.79 2937.50
1403.34 5125.79 2937.12
1409.63 5125.79 2936.73
1415.92 5125.79 2936.34
1422.21 5125.79 2935.96
1428.50 5125.79 2935.57
1434.79 5125.79 2935.20
1441.07 5125.79 2934.81
1447.36 5125.79 2934.43
1453.65 5125.79 2934.05
1459.94 5125.79 2933.67
1466.23 5125.79 2933.29
1472.52 5125.79 2932.92
1478.81 5125.79 2932.54
1485.10 5125.79 2932.17
1491.39 5125.79 2931.79
1497.68 5125.79 2931.42
1503.97 5125.79 2931.06
1510.26 5125.79 2930.69
1516.55 5125.79 2930.32
1522.84 5125.79 2929.95
1529.12 5125.79 2929.59
1535.41 5125.79 2929.22
1541.70 5125.79 2928.87
1547.99 5125.79 2928.51
1554.28 5125.79 2928.15
1560.57 5125.79 2927.80
1566.86 5125.79 2927.44
1573.15 5125.79 2927.09
573.150 5251.57 3296.16
579.439 5251.57 3294.86
585.729 5251.57 3293.52
592.018 5251.57 3292.13
598.307 5251.57 3290.68
604.597 5251.57 3289.17
610.886 5251.57 3287.57
617.175 5251.57 3285.88
623.464 5251.57 3284.07
629.754 5251.57 3282.11
636.043 5251.57 3279.98
642.332 5251.57 3277.63
648.622 5251.57 3275.00
654.911 5251.57 3271.99
661.200 5251.57 3268.48
667.490 5251.57 3264.23
673.779 5251.57 3258.84
680.068 5251.57 3251.47
686.358 5251.57 3173.36
692.647 5251.57 3051.03
698.936 5251.57 3050.61
705.225 5251.57 3050.20
711.515 5251.57 3049.78
717.804 5251.57 3049.37
724.093 5251.57 3048.95
730.383 5251.57 3048.54
736.672 5251.57 3048.12
742.961 5251.57 3047.70
749.251 5251.57 3047.28
755.540 5251.57 3046.86
761.829 5251.57 3046.45
768.119 5251.57 3003.68
774.408 5251.57 2978.15
780.697 5251.57 2977.74
786.986 5251.57 2977.34
793.276 5251.57 2976.93
799.565 5251.57 2976.53
805.854 5251.57 2976.12
812.144 5251.57 2975.71
818.433 5251.57 2975.31
824.722 5251.57 2974.90
831.012 5251.57 2974.50
837.301 5251.57 2974.09
843.590 5251.57 2973.69
849.880 5251.57 2973.28
856.169 5251.57 2972.87
862.458 5251.57 2972.47
868.747 5251.57 2972.06
875.037 5251.57 2971.65
881.326 5251.57 2971.25
887.615 5251.57 2970.84
893.905 5251.57 2970.44
900.194 5251.57 2970.03
906.483 5251.57 2969.62
912.773 5251.57 2969.22
919.062 5251.57 2968.81
925.351 5251.57 2968.40
931.641 5251.57 2968.00
937.930 5251.57 2967.59
944.219 5251.57 2967.18
950.508 5251.57 2966.78
956.798 5251.57 2966.37
963.087 5251.57 2965.96
969.376 5251.57 2965.56
975.666 5251.57 2965.15
981.955 5251.57 2964.75
988.244 5251.57 2964.34
994.534 5251.57 2963.93
1000.82 5251.57 2963.52
1007.11 5251.57 2963.12
1013.40 5251.57 2962.71
1019.69 5251.57 2962.31
1025.98 5251.57 2961.90
1032.27 5251.57 2961.49
1038.56 5251.57 2961.09
1044.85 5251.57 2960.68
1051.14 5251.57 2960.27
1057.43 5251.57 2959.87
1063.72 5251.57 2959.46
1070.01 5251.57 2959.05
1076.29 5251.57 2958.65
1082.58 5251.57 2958.24
1088.87 5251.57 2957.84
1095.16 5251.57 2957.43
1101.45 5251.57 2957.03
1107.74 5251.57 2956.62
1114.03 5251.57 2956.21
1120.32 5251.57 2955.81
1126.61 5251.57 2955.40
1132.90 5251.57 2955.00
1139.19 5251.57 2954.59
1145.48 5251.57 2954.19
1151.77 5251.57 2953.78
1158.06 5251.57 2953.38
1164.34 5251.57 2952.98
1170.63 5251.57 2952.58
1176.92 5251.57 2952.16
1183.21 5251.57 2951.76
1189.50 5251.57 2951.36
1195.79 5251.57 2950.96
1202.08 5251.57 2950.55
1208.37 5251.57 2950.15
1214.66 5251.57 2949.75
1220.95 5251.57 2949.35
1227.24 5251.57 2948.95
1233.53 5251.57 2948.54
1239.82 5251.57 2948.14
1246.11 5251.57 2947.74
1252.40 5251.57 2947.34
1258.68 5251.57 2946.94
1264.97 5251.57 2946.54
1271.26 5251.57 2946.15
