|6.6.6
semprich_basalt_1.tab
1
T(K)
200.00000000000011
200.00000000000011
960268656
13
T(K) P(bar) Pl Pl Sp Cpx Cpx Opx Gt ky qtz coes O
923.150 5000.00 65.5700 NaN NaN 10.5168 NaN 15.2279 NaN NaN NaN NaN 8.68535
925.170 5202.02 65.5192 NaN NaN 10.5544 NaN 15.2641 NaN NaN NaN NaN 8.66235
927.190 5404.04 65.4661 NaN NaN 10.5939 NaN 15.3016 NaN NaN NaN NaN 8.63828
929.211 5606.06 65.4101 NaN NaN 10.6357 NaN 15.3416 NaN NaN NaN NaN 8.61263
931.231 5808.08 65.3515 NaN NaN 10.6794 NaN 15.3832 NaN NaN NaN NaN 8.58583
933.251 6010.10 65.2892 NaN NaN 10.7261 NaN 15.4276 NaN NaN NaN NaN 8.55712
935.271 6212.12 65.2255 NaN NaN 10.7738 NaN 15.4730 NaN NaN NaN NaN 8.52776
937.291 6414.14 65.1585 NaN NaN 10.8240 NaN 15.5207 NaN NaN NaN NaN 8.49678
939.312 6616.16 65.0871 NaN NaN 10.8775 NaN 15.5719 NaN NaN NaN NaN 8.46348
941.332 6818.18 65.0102 NaN NaN 10.9352 NaN 15.6271 NaN NaN NaN NaN 8.42755
943.352 7020.20 64.9271 NaN NaN 10.9978 NaN 15.6866 NaN NaN NaN NaN 8.38853
945.372 7222.22 63.9905 NaN NaN 11.5781 NaN 15.3870 1.14018 NaN NaN NaN 7.90428
947.392 7424.24 51.7546 NaN 1.47978 19.6667 NaN 14.6621 12.4368 NaN NaN NaN NaN
949.413 7626.26 49.2713 NaN 0.255841 20.6944 NaN 10.1822 19.5962 NaN NaN NaN NaN
951.433 7828.28 48.7504 NaN NaN 20.9009 NaN 9.21631 21.1325 NaN NaN NaN NaN
953.453 8030.30 48.7482 NaN NaN 20.8966 NaN 9.18014 21.1751 NaN NaN NaN NaN
955.473 8232.32 48.7460 NaN NaN 20.8927 NaN 9.14482 21.2165 NaN NaN NaN NaN
957.493 8434.34 48.7437 NaN NaN 20.8895 NaN 9.11147 21.2554 NaN NaN NaN NaN
959.514 8636.36 48.7414 NaN NaN 20.8859 NaN 9.07805 21.2946 NaN NaN NaN NaN
961.534 8838.38 48.7392 NaN NaN 20.8818 NaN 9.04281 21.3361 NaN NaN NaN NaN
963.554 9040.40 46.1506 NaN NaN 22.4257 NaN 6.07237 24.6841 NaN 0.667308 NaN NaN
965.574 9242.42 41.3520 NaN NaN 25.2955 NaN 0.595412 30.8530 NaN 1.90404 NaN NaN
967.594 9444.44 40.5996 NaN NaN 25.5841 NaN NaN 31.7210 NaN 2.09534 NaN NaN
969.615 9646.46 40.3336 NaN NaN 25.5554 NaN NaN 31.9500 NaN 2.16095 NaN NaN
971.635 9848.48 40.0555 NaN NaN 25.5258 NaN NaN 32.1891 NaN 2.22959 NaN NaN
973.655 10050.5 39.7722 NaN NaN 25.4954 NaN NaN 32.4329 NaN 2.29952 NaN NaN
975.675 10252.5 39.4778 NaN NaN 25.4651 NaN NaN 32.6849 NaN 2.37219 NaN NaN
977.695 10454.5 39.1751 NaN NaN 25.4334 NaN NaN 32.9446 NaN 2.44693 NaN NaN
979.716 10656.6 38.8337 NaN NaN 25.3965 NaN NaN 33.2385 NaN 2.53140 NaN NaN
981.736 10858.6 38.5147 NaN NaN 25.3639 NaN NaN 33.5112 NaN 2.61017 NaN NaN
