|6.6.6
xu_2008_pyrolite_1.tab
1
T(K)
200.00000000000011
200.00000000000011
1456339312
9
T(K) P(bar) O Pl Cpx Opx ky Gt Sp
923.150 5000.00 63.5017 13.8673 3.93712 18.6939 NaN NaN NaN
925.170 5252.53 63.4871 13.8156 3.97189 18.7254 NaN NaN NaN
927.190 5505.05 63.4711 13.7600 4.00968 18.7592 NaN NaN NaN
929.211 5757.58 63.4538 13.7005 4.04988 18.7958 NaN NaN NaN
931.231 6010.10 63.4353 13.6373 4.09289 18.8345 NaN NaN NaN
933.251 6262.63 63.4149 13.5683 4.13997 18.8769 NaN NaN NaN
935.271 6515.15 63.3935 13.4967 4.18888 18.9209 NaN NaN NaN
937.291 6767.68 61.5374 10.9421 5.96801 20.6373 NaN NaN 0.915219
939.312 7020.20 53.5102 NaN 13.5851 28.0054 NaN NaN 4.89940
941.332 7272.73 53.5163 NaN 13.5869 28.0019 NaN NaN 4.89495
943.352 7525.25 53.5229 NaN 13.5881 27.9989 NaN NaN 4.89013
945.372 7777.78 53.5286 NaN 13.5896 27.9957 NaN NaN 4.88610
947.392 8030.30 53.5351 NaN 13.5913 27.9923 NaN NaN 4.88126
949.413 8282.83 53.5415 NaN 13.5928 27.9891 NaN NaN 4.87662
951.433 8535.35 53.5474 NaN 13.5944 27.9859 NaN NaN 4.87232
953.453 8787.88 53.5539 NaN 13.5960 27.9825 NaN NaN 4.86760
955.473 9040.40 53.5604 NaN 13.5977 27.9791 NaN NaN 4.86280
957.493 9292.93 53.5670 NaN 13.5992 27.9759 NaN NaN 4.85782
959.514 9545.45 53.5734 NaN 13.6009 27.9725 NaN NaN 4.85317
961.534 9797.98 53.5796 NaN 13.6025 27.9693 NaN NaN 4.84861
963.554 10050.5 53.5862 NaN 13.6042 27.9659 NaN NaN 4.84367
965.574 10303.0 53.5926 NaN 13.6058 27.9626 NaN NaN 4.83895
967.594 10555.6 53.5996 NaN 13.6075 27.9592 NaN NaN 4.83375
969.615 10808.1 53.6057 NaN 13.6091 27.9560 NaN NaN 4.82918
971.635 11060.6 53.6123 NaN 13.6106 27.9528 NaN NaN 4.82427
973.655 11313.1 53.6188 NaN 13.6124 27.9493 NaN NaN 4.81946
975.675 11565.7 53.6261 NaN 13.6145 27.9455 NaN NaN 4.81384
977.695 11818.2 53.6320 NaN 13.6162 27.9422 NaN NaN 4.80957
979.716 12070.7 53.6392 NaN 13.6180 27.9387 NaN NaN 4.80412
981.736 12323.2 58.6972 NaN 11.3008 16.5894 NaN 12.7388 0.673734
983.756 12575.8 59.5236 NaN 10.9266 14.7055 NaN 14.8443 NaN
985.776 12828.3 59.5247 NaN 10.9293 14.6833 NaN 14.8627 NaN
987.796 13080.8 59.5258 NaN 10.9311 14.6600 NaN 14.8830 NaN
989.817 13333.3 59.5269 NaN 10.9328 14.6377 NaN 14.9026 NaN
991.837 13585.9 59.5279 NaN 10.9361 14.6174 NaN 14.9185 NaN
993.857 13838.4 59.5289 NaN 10.9398 14.5949 NaN 14.9364 NaN
995.877 14090.9 59.5299 NaN 10.9424 14.5740 NaN 14.9538 NaN
997.897 14343.4 59.5309 NaN 10.9443 14.5518 NaN 14.9730 NaN
999.918 14596.0 59.5319 NaN 10.9473 14.5312 NaN 14.9896 NaN
1001.94 14848.5 59.5328 NaN 10.9510 14.5099 NaN 15.0063 NaN
1003.96 15101.0 59.5337 NaN 10.9546 14.4893 NaN 15.0223 NaN
1005.98 15353.5 59.5346 NaN 10.9573 14.4716 NaN 15.0365 NaN
1008.00 15606.1 59.5355 NaN 10.9603 14.4526 NaN 15.0516 NaN
1010.02 15858.6 59.5362 NaN 10.9641 14.4348 NaN 15.0649 NaN
1012.04 16111.1 59.5372 NaN 10.9666 14.4141 NaN 15.0822 NaN
1014.06 16363.6 59.5380 NaN 10.9697 14.3958 NaN 15.0965 NaN
1016.08 16616.2 59.5388 NaN 10.9725 14.3783 NaN 15.1104 NaN
1018.10 16868.7 59.5396 NaN 10.9754 14.3614 NaN 15.1237 NaN
1020.12 17121.2 59.5404 NaN 10.9789 14.3434 NaN 15.1373 NaN
1022.14 17373.7 59.5411 NaN 10.9815 14.3270 NaN 15.1503 NaN
1024.16 17626.3 59.5418 NaN 10.9847 14.3107 NaN 15.1628 NaN
1026.18 17878.8 59.5425 NaN 10.9894 14.2944 NaN 15.1737 NaN
1028.20 18131.3 59.5432 NaN 10.9921 14.2784 NaN 15.1862 NaN
1030.22 18383.8 59.5440 NaN 10.9957 14.2612 NaN 15.1991 NaN
1032.24 18636.4 59.5446 NaN 10.9992 14.2467 NaN 15.2094 NaN
1034.26 18888.9 59.5454 NaN 11.0015 14.2305 NaN 15.2226 NaN
1036.28 19141.4 59.5459 NaN 11.0090 14.2138 NaN 15.2314 NaN
1038.30 19393.9 59.5466 NaN 11.0088 14.2004 NaN 15.2442 NaN
1040.32 19646.5 59.5473 NaN 11.0117 14.1857 NaN 15.2554 NaN
1042.34 19899.0 59.5479 NaN 11.0146 14.1715 NaN 15.2661 NaN
1044.36 20151.5 59.5485 NaN 11.0170 14.1581 NaN 15.2765 NaN
1046.38 20404.0 59.5490 NaN 11.0212 14.1447 NaN 15.2850 NaN
1048.40 20656.6 59.5497 NaN 11.0244 14.1296 NaN 15.2964 NaN
1050.42 20909.1 59.5502 NaN 11.0267 14.1169 NaN 15.3062 NaN
1052.44 21161.6 59.5508 NaN 11.0320 14.1015 NaN 15.3158 NaN
1054.46 21414.1 59.5513 NaN 11.0356 14.0885 NaN 15.3246 NaN
1056.48 21666.7 59.5518 NaN 11.0389 14.0762 NaN 15.3331 NaN
1058.50 21919.2 59.5524 NaN 11.0411 14.0632 NaN 15.3434 NaN
1060.52 22171.7 59.5529 NaN 11.0451 14.0502 NaN 15.3518 NaN
1062.54 22424.2 59.5534 NaN 11.0482 14.0385 NaN 15.3599 NaN
1064.56 22676.8 59.5540 NaN 11.0517 14.0248 NaN 15.3695 NaN
1066.58 22929.3 59.5544 NaN 11.0541 14.0134 NaN 15.3781 NaN
1068.60 23181.8 59.5549 NaN 11.0576 14.0015 NaN 15.3861 NaN
1070.62 23434.3 59.5554 NaN 11.0611 13.9890 NaN 15.3945 NaN
1072.64 23686.9 59.5559 NaN 11.0646 13.9770 NaN 15.4025 NaN
1074.67 23939.4 59.5563 NaN 11.0685 13.9653 NaN 15.4098 NaN
1076.69 24191.9 59.5568 NaN 11.0699 13.9545 NaN 15.4188 NaN
1078.71 24444.4 59.5572 NaN 11.0746 13.9427 NaN 15.4254 NaN
1080.73 24697.0 59.5577 NaN 11.0776 13.9318 NaN 15.4330 NaN
1082.75 24949.5 59.5580 NaN 11.0824 13.9201 NaN 15.4395 NaN
1084.77 25202.0 59.5585 NaN 11.0848 13.9089 NaN 15.4478 NaN
1086.79 25454.5 59.5589 NaN 11.0884 13.8983 NaN 15.4544 NaN
1088.81 25707.1 59.5593 NaN 11.0931 13.8868 NaN 15.4608 NaN
1090.83 25959.6 59.5597 NaN 11.0954 13.8769 NaN 15.4680 NaN
1092.85 26212.1 59.5601 NaN 11.0993 13.8659 NaN 15.4747 NaN
1094.87 26464.6 59.5605 NaN 11.1024 13.8548 NaN 15.4823 NaN
1096.89 26717.2 59.5609 NaN 11.1056 13.8446 NaN 15.4889 NaN
1098.91 26969.7 59.5613 NaN 11.1085 13.8348 NaN 15.4954 NaN
1100.93 27222.2 59.5616 NaN 11.1117 13.8248 NaN 15.5019 NaN
1102.95 27474.7 59.5620 NaN 11.1156 13.8142 NaN 15.5082 NaN
1104.97 27727.3 59.5623 NaN 11.1192 13.8041 NaN 15.5143 NaN
1106.99 27979.8 59.5627 NaN 11.1223 13.7944 NaN 15.5206 NaN
1109.01 28232.3 59.5630 NaN 11.1263 13.7840 NaN 15.5267 NaN
1111.03 28484.8 59.5634 NaN 11.1288 13.7755 NaN 15.5324 NaN
1113.05 28737.4 59.5637 NaN 11.1325 13.7662 NaN 15.5376 NaN
1115.07 28989.9 59.5640 NaN 11.1357 13.7558 NaN 15.5444 NaN
1117.09 29242.4 59.5644 NaN 11.1399 13.7459 NaN 15.5498 NaN
1119.11 29494.9 59.5647 NaN 11.1430 13.7364 NaN 15.5559 NaN
1121.13 29747.5 59.5650 NaN 11.1475 13.7260 NaN 15.5614 NaN
1123.15 30000.0 59.5653 NaN 11.1494 13.7182 NaN 15.5671 NaN
