|6.6.6
xu_2008_pyrolite_2.tab
2
T(K)
573.14999999999998
6.2893081761006293
160
P(bar)
5000.0000000000000
157.23270440251574
160
3
T(K) P(bar) rho,kg/m3
573.150 5000.00 3353.93
579.439 5000.00 3353.37
585.729 5000.00 3352.81
592.018 5000.00 3352.24
598.307 5000.00 3351.67
604.597 5000.00 3351.09
610.886 5000.00 3350.51
617.175 5000.00 3349.92
623.464 5000.00 3349.32
629.754 5000.00 3348.72
636.043 5000.00 3348.11
642.332 5000.00 3347.50
648.622 5000.00 3346.88
654.911 5000.00 3346.24
661.200 5000.00 3345.60
667.490 5000.00 3344.95
673.779 5000.00 3344.29
680.068 5000.00 3343.61
686.358 5000.00 3342.92
692.647 5000.00 3342.19
698.936 5000.00 3341.42
705.225 5000.00 3326.49
711.515 5000.00 3242.15
717.804 5000.00 3241.61
724.093 5000.00 3241.07
730.383 5000.00 3240.52
736.672 5000.00 3239.98
742.961 5000.00 3239.43
749.251 5000.00 3238.89
755.540 5000.00 3238.34
761.829 5000.00 3237.79
768.119 5000.00 3237.25
774.408 5000.00 3236.70
780.697 5000.00 3236.16
786.986 5000.00 3235.61
793.276 5000.00 3235.06
799.565 5000.00 3234.52
805.854 5000.00 3233.97
812.144 5000.00 3233.42
818.433 5000.00 3232.87
824.722 5000.00 3232.33
831.012 5000.00 3231.78
837.301 5000.00 3231.23
843.590 5000.00 3230.68
849.880 5000.00 3230.14
856.169 5000.00 3229.59
862.458 5000.00 3229.04
868.747 5000.00 3228.49
875.037 5000.00 3227.94
881.326 5000.00 3227.40
887.615 5000.00 3226.85
893.905 5000.00 3226.30
900.194 5000.00 3225.75
906.483 5000.00 3225.20
912.773 5000.00 3224.65
919.062 5000.00 3224.10
925.351 5000.00 3223.55
931.641 5000.00 3223.01
937.930 5000.00 3222.46
944.219 5000.00 3221.91
950.508 5000.00 3221.36
956.798 5000.00 3220.81
963.087 5000.00 3220.26
969.376 5000.00 3219.71
975.666 5000.00 3219.16
981.955 5000.00 3218.62
988.244 5000.00 3218.07
994.534 5000.00 3217.52
1000.82 5000.00 3216.97
1007.11 5000.00 3216.42
1013.40 5000.00 3215.87
1019.69 5000.00 3215.33
1025.98 5000.00 3214.78
1032.27 5000.00 3214.23
1038.56 5000.00 3213.68
1044.85 5000.00 3213.14
1051.14 5000.00 3212.59
1057.43 5000.00 3212.04
1063.72 5000.00 3211.50
1070.01 5000.00 3210.95
1076.29 5000.00 3210.41
1082.58 5000.00 3209.86
1088.87 5000.00 3209.32
1095.16 5000.00 3208.78
1101.45 5000.00 3208.23
1107.74 5000.00 3207.69
1114.03 5000.00 3207.15
1120.32 5000.00 3206.61
1126.61 5000.00 3206.07
1132.90 5000.00 3205.53
1139.19 5000.00 3204.99
1145.48 5000.00 3204.45
1151.77 5000.00 3203.91
1158.06 5000.00 3203.37
1164.34 5000.00 3202.84
1170.63 5000.00 3202.30
1176.92 5000.00 3201.77
1183.21 5000.00 3201.24
1189.50 5000.00 3200.71
1195.79 5000.00 3200.17
1202.08 5000.00 3199.65
1208.37 5000.00 3199.12
1214.66 5000.00 3198.59
1220.95 5000.00 3198.07
1227.24 5000.00 3197.54
1233.53 5000.00 3197.02
1239.82 5000.00 3196.50
1246.11 5000.00 3195.99
1252.40 5000.00 3195.47
1258.68 5000.00 3194.96
1264.97 5000.00 3194.44
1271.26 5000.00 3193.93
1277.55 5000.00 3193.43
1283.84 5000.00 3192.92
1290.13 5000.00 3192.42
1296.42 5000.00 3191.92
1302.71 5000.00 3191.42
1309.00 5000.00 3190.93
1315.29 5000.00 3190.43
1321.58 5000.00 3189.94
1327.87 5000.00 3189.46
1334.16 5000.00 3188.98
1340.45 5000.00 3188.50
1346.73 5000.00 3188.02
1353.02 5000.00 3187.55
1359.31 5000.00 3187.08
1365.60 5000.00 3186.62
1371.89 5000.00 3186.16
1378.18 5000.00 3185.70
1384.47 5000.00 3185.25
1390.76 5000.00 3184.80
1397.05 5000.00 3184.36
1403.34 5000.00 3183.92
1409.63 5000.00 3183.49
1415.92 5000.00 3183.07
1422.21 5000.00 3182.64
1428.50 5000.00 3182.23
1434.79 5000.00 3181.82
1441.07 5000.00 3181.42
1447.36 5000.00 3181.02
1453.65 5000.00 3180.63
1459.94 5000.00 3180.25
1466.23 5000.00 3179.87
1472.52 5000.00 3179.50
1478.81 5000.00 3179.14
1485.10 5000.00 3178.78
1491.39 5000.00 3178.44
1497.68 5000.00 3178.10
1503.97 5000.00 3177.77
1510.26 5000.00 3177.45
1516.55 5000.00 3177.14
1522.84 5000.00 3176.84
1529.12 5000.00 3176.54
1535.41 5000.00 3176.27
1541.70 5000.00 3176.00
1547.99 5000.00 3175.74
1554.28 5000.00 3175.48
1560.57 5000.00 3175.25
1566.86 5000.00 3175.03
1573.15 5000.00 3174.81
573.150 5157.23 3354.82
579.439 5157.23 3354.27
