name,abbrev,endmember_names,formula_str,conversion_strs,X,d,W,sites,TC0,VD,SD,W_V
Feldspar,plg,"['Anorthite', 'Albite']",Na[Na]Ca[Ca]Al[Al]Si[Si]O8,"['[0]=[Ca]', '[1]=[Na]']","[1.0, 1.0]","[1.0, 1.0]",[13000.0],"[[1.0, [1.0, 0.0]], [1.0, [0.0, 1.0]]]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]",[0.0]
Olivine,ol,"['Forsterite', 'Fayalite']",Mg[Mg]Fe[Fe]SiO4,"['[0]=[Mg]/2.0', '[1]=[Fe]/2.0']","[1.0, 1.0]","[1.0, 1.0]",[4700.0],"[[2.0, [1.0, 0.0]], [2.0, [0.0, 1.0]]]","[0.0, 65.0]","[0.0, 0.0]","[0.0, 26.7627]",[0.0]
Wadsleyite,wa,"['MgWadsleyite', 'FeWadsleyite']",Mg[Mg]Fe[Fe]SiO4,"['[0]=[Mg]/2.0', '[1]=[Fe]/2.0']","[1.0, 1.0]","[1.0, 1.0]",[13200.0],"[[2.0, [1.0, 0.0]], [2.0, [0.0, 1.0]]]","[0.0, 5.0]","[0.0, 0.0]","[0.0, 26.7627]",[0.0]
Ringwoodite,ri,"['MgRingwoodite', 'FeRingwoodite']",Mg[Mg]Fe[Fe]SiO4,"['[0]=[Mg]/2.0', '[1]=[Fe]/2.0']","[1.0, 1.0]","[1.0, 1.0]",[7600.0],"[[2.0, [1.0, 0.0]], [2.0, [0.0, 1.0]]]","[0.0, 5.0]","[0.0, 0.0]","[0.0, 26.7627]",[0.0]
Perovskite,pv,"['MgPerovskite', 'FePerovskite', 'AlPerovskite']",Mg[Mg]Fe[Fe]Al[Al]Si[Si]O3,"['[0]=[Mg]', '[1]=[Fe]', '[2]=[Al]/2.0']","[1.0, 1.0, 1.0]","[1.0, 1.0, 0.39]","[-11400.0, 35000.0, 0.0]","[[1.0, [1.0, 0.0, 0.0]], [1.0, [0.0, 1.0, 0.0]], [1.0, [0.0, 0.0, 1.0]], [1.0, [0.0, 0.0, 1.0]], [1.0, [1.0, 1.0, 0.0]]]","[0.0, 5.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 13.38135, 0.0]","[0.0, 0.0, 0.0]"
PostPerovskite,ppv,"['MgPostPerovskite', 'FePostPerovskite', 'AlPostPerovskite']",Mg[Mg]Fe[Fe]Al[Al]Si[Si]O3,"['[0]=[Mg]', '[1]=[Fe]', '[2]=[Al]/2.0']","[1.0, 1.0, 1.0]","[1.0, 1.0, 1.0]","[-11000.0, 35000.0, 35000.0]","[[1.0, [1.0, 0.0, 0.0]], [1.0, [0.0, 1.0, 0.0]], [1.0, [0.0, 0.0, 1.0]], [1.0, [0.0, 0.0, 1.0]], [1.0, [1.0, 1.0, 0.0]]]","[0.0, 5.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 13.38135, 0.0]","[0.0, 0.0, 0.0]"
Orthopyroxene,opx,"['Enstatite', 'Ferrosilite', 'MgTschermaks', 'OrthoDiopside']",Ca[Ca]Mg[Mg]Fe[Fe]Al[Al]Si[Si]O6,"['[0]=([Mg]-[Ca]-[Al]/2.0)/2.0', '[1]=[Fe]/2.0', '[2]=[Al]/2.0', '[3]=[Ca]']","[1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 32200.0, 32200.0, 48000.0]","[[1.0, [0.0, 0.0, 0.0, 1.0]], [1.0, [1.0, 0.0, 1.0, 0.0]], [1.0, [0.0, 1.0, 0.0, 0.0]], [1.0, [1.0, 0.0, 0.0, 1.0]], [1.0, [0.0, 1.0, 0.0, 0.0]], [1.0, [0.0, 0.0, 1.0, 0.0]]]","[0.0, 5.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 26.7627, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
Clinopyroxene,cpx,"['Diopside', 'Hedenbergite', 'Clinoenstatite', 'CaTschermaks', 'Jadeite']",Na[Na]Ca[Ca]Mg[Mg]Fe[Fe]Al[Al]Si[Si]O6,"['[0]=[Ca] - [Fe] - ([Al]-[Na])/2.0', '[1]=[Fe]', '[2]=([Mg] - ([Ca] - [Fe] - ([Al]-[Na])/2.0))/2.0', '[3]=([Al]-[Na])/2.0', '[4]=[Na]']","[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 3.5, 1.0]","[0.0, 24700.0, 24700.0, 26000.0, 26000.0, 60100.0, 24300.0, 24300.0, 46000.0, 10000.0]","[[1.0, [1.0, 1.0, 0.0, 1.0, 0.0]], [1.0, [0.0, 0.0, 1.0, 0.0, 0.0]], [1.0, [0.0, 0.0, 0.0, 0.0, 1.0]], [1.0, [1.0, 0.0, 1.0, 0.0, 0.0]], [1.0, [0.0, 1.0, 0.0, 0.0, 0.0]], [1.0, [0.0, 0.0, 0.0, 1.0, 1.0]], [2.0, [0.0, 0.0, 0.0, 0.5, 0.0]], [2.0, [1.0, 1.0, 1.0, 0.5, 1.0]]]","[0.0, 5.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 13.38135, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
HPClinopyroxene,hpcpx,"['HPClinoenstatite', 'HPClinoferrosilite']",Mg[Mg]Fe[Fe]Si2O6,"['[0]=[Mg]/2.0', '[1]=[Fe]/2.0']","[1.0, 1.0]","[1.0, 1.0]",[0.0],"[[2.0, [1.0, 0.0]], [2.0, [0.0, 1.0]]]","[0.0, 5.0]","[0.0, 0.0]","[0.0, 26.7627]",[0.0]
Akimotoite,ak,"['MgAkimotoite', 'FeAkimotoite', 'Corundum']",Mg[Mg]Fe[Fe]Al[Al]Si[Si]O3,"['[0]=[Mg]', '[1]=[Fe]', '[2]=[Al]/2.0']","[1.0, 1.0, 1.0]","[1.0, 1.0, 1.0]","[0.0, 59300.0, 59300.0]","[[1.0, [1.0, 0.0, 0.0]], [1.0, [0.0, 1.0, 0.0]], [1.0, [0.0, 0.0, 1.0]], [1.0, [0.0, 0.0, 1.0]], [1.0, [1.0, 1.0, 0.0]]]","[0.0, 5.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 13.38135, 0.0]","[0.0, 0.0, 0.0]"
