name,formula,a0,n,v0,k00,k0p,theta0,gamma0,q,refS,T_r,V_r,TC0,VD,SD,abbrev,eos,trans,type
O2,O(2),0.0,-205.3614,,48.3,-0.000691,499200.0,,-420.7,0.0,300.0,,,,,O2,1,,
Albite,Na(1)Al(1)Si(3)O(8),-3717909.79,13.0,10.0452,597525.9,2.77846,719.0831,0.57877,1.0,0.0,300.0,10.0452,,,,ab,6,,
Acmite,Na(1)Fe(1)Si(2)O(6),-2419124.39,10.0,6.4606,1161000.0,4.4,726.94116,0.77467,0.60142,0.0,300.0,6.4606,4.0,,14.89723,acm,6,1.0,7.0
Almandine,Fe(3)Al(2)Si(3)O(12),-4930861.66,20.0,11.543,1738963.7,4.91341,741.38227,1.06493,1.42169,0.0,300.0,11.543,7.5,,40.14405,al,6,1.0,7.0
AlBridgmanaite,Al(2)O(3),-1517031.0,5.0,2.4944,2424000.0,4.1,856.18212,1.54466,0.83352,0.0,300.0,2.4944,,,,alpv,6,,
Anorthite,Ca(1)Al(2)Si(2)O(8),-4012381.13,13.0,10.061,840933.9,6.73397,754.46887,0.38512,1.0,0.0,300.0,10.061,,,,an,6,,
AlphaNaO2,Na(2)Al(2)O(4),-2124562.13,8.0,4.542,1611439.3,3.90838,744.51451,1.45033,1.5487,0.0,300.0,4.542,,,,anao,6,,
Andradite,Ca(3)Fe(2)Si(3)O(12),-5414950.41,20.0,13.199,1535800.4,4.78447,750.98472,1.04336,1.42169,0.0,300.0,13.199,11.7,,29.79445,andr,6,1.0,7.0
Seiferite,Si(1)O(2),-792997.39,3.0,1.367,3271623.6,4.0166,1132.97205,1.55723,2.21141,0.0,300.0,1.367,,,,apbo,6,,
AlPostPerovskite,Al(2)O(3),-1434367.18,5.0,2.45,2477400.0,4.0,752.02929,1.86524,1.76454,0.0,300.0,2.45,,,,appv,6,,
CaPerovskite,Ca(1)Si(1)O(3),-1461201.28,5.0,2.745,2360000.0,3.9,800.29043,1.88997,0.89608,0.0,300.0,2.745,,,,capv,6,,
CaTschermaks,Ca(1)Al(2)Si(1)O(6),-3119890.8,10.0,6.3574,1137599.0,4.8061,804.36068,0.82288,0.60142,0.0,300.0,6.3574,,,,cats,6,,
Clinoenstatite,Mg(2)Si(2)O(6),-2904584.98,10.0,6.25,1137599.0,4.8061,805.59286,1.00921,0.60142,0.0,300.0,6.25,,,,cen,6,,
Corundum,Al(2)O(3),-1582443.14,5.0,2.5577,2525857.2,3.88671,932.21586,1.3081,1.71245,0.0,300.0,2.5577,,,,co,6,,
Coesite,Si(1)O(2),-853834.92,3.0,2.0657,1035379.9,2.9007,875.22323,0.29043,1.0,0.0,300.0,2.0657,,,,coes,6,,
CrPostPerovskite,Cr(2)O(3),-1110023.23,5.0,2.6949,2477400.0,4.0,755.01863,1.64015,1.76454,0.0,300.0,2.6949,5.0,,23.05213,cppv,6,1.0,7.0
CrCaFerrite,Mg(1)Cr(2)O(4),-1736682.29,7.0,3.9421,1854000.0,4.0,684.9543,1.56656,1.0,0.0,300.0,3.9421,5.0,,23.05213,crcf,6,1.0,7.0
CrBridgmanite,Cr(2)O(3),-1186685.95,5.0,2.8189,2505653.5,4.13438,758.1187,1.54466,0.83352,0.0,300.0,2.8189,5.0,,23.05213,crpv,6,1.0,7.0
Diopside,Ca(1)Mg(1)Si(2)O(6),-3029614.78,10.0,6.6039,1137599.0,4.8061,782.57306,1.00921,0.60142,0.0,300.0,6.6039,,,,di,6,,
Enstatite,Mg(2)Si(2)O(6),-2912202.5,10.0,6.2676,1070768.1,7.02751,812.21227,0.78477,3.43847,0.0,300.0,6.2676,,,,en,6,,
Eskolaite,Cr(2)O(3),-1206914.71,5.0,2.8904,2333403.6,4.01705,766.73627,1.15191,2.22481,0.0,300.0,2.8904,305.5,,23.05213,esk,6,1.0,7.0
Fayalite,Fe(2)Si(1)O(4),-1371708.34,7.0,4.629,1364855.8,4.88157,618.96116,1.08388,2.88055,0.0,300.0,4.629,65.0,,26.7627,fa,6,1.0,7.0
FerricAlBridgmanite,Fe(1)Al(1)O(3),-1131674.78,5.0,2.709,2233255.0,4.1,755.62079,1.54466,0.83352,0.0,300.0,2.709,5.0,,14.89723,fapv,6,1.0,7.0
alpha,Fe(1),11.82,1.0,0.7093,1634211.4,6.01732,398.00486,1.66729,0.90658,0.0,300.0,0.7093,1043.01,,9.46028,fea,6,1.0,9.0
HPClinoferrosilite,Fe(2)Si(2)O(6),-2219723.53,10.0,6.385413,1160255.6,6.23685,691.84626,1.12478,0.20409,0.0,300.0,6.385413,5.0,,26.7627,fec2,6,1.0,7.0
FeCaFerrite,Fe(1)Al(2)O(4),-1768312.12,7.0,3.7216,2130000.0,4.1,715.88779,1.56656,1.0,0.0,300.0,3.7216,5.0,,13.38135,fecf,6,1.0,7.0
epsilon,Fe(1),3428.48,1.0,0.67651,1650000.0,4.97,379.74281,2.13092,1.02253,0.0,300.0,0.67651,,,,fee,6,,
